algoritmo,comparaciones,tiempo_segundos,dataset
Bubble Sort,14,7.584021659567952e-06,"[5, 2, 9, 1, 5, 6]"
Insertion Sort,9,5.04200579598546e-06,"[5, 2, 9, 1, 5, 6]"
Selection Sort,15,4.5000051613897085e-06,"[5, 2, 9, 1, 5, 6]"
Merge Sort,10,1.0166986612603068e-05,"[5, 2, 9, 1, 5, 6]"
Quick Sort,15,8.500006515532732e-06,"[5, 2, 9, 1, 5, 6]"
